,Year,Name,Pop
0,1982,rap,18
1,1982,pop,1386
2,1982,rock,2494
3,1982,soul,380
4,1982,folk,681
5,1982,jazz,93
6,1982,blues,232
7,1982,metal,153
8,1982,punk,74
9,1982,polish,0
10,1983,rap,7
11,1983,pop,2270
12,1983,rock,3620
13,1983,soul,509
14,1983,folk,754
15,1983,jazz,175
16,1983,blues,279
17,1983,metal,173
18,1983,punk,156
19,1983,polish,0
20,1984,rap,3
21,1984,pop,2255
22,1984,rock,3514
23,1984,soul,435
24,1984,folk,480
25,1984,jazz,59
26,1984,blues,149
27,1984,metal,395
28,1984,punk,23
29,1984,polish,0
30,1985,rap,40
31,1985,pop,2368
32,1985,rock,3247
33,1985,soul,581
34,1985,folk,341
35,1985,jazz,115
36,1985,blues,221
37,1985,metal,276
38,1985,punk,43
39,1985,polish,0
40,1986,rap,39
41,1986,pop,2514
42,1986,rock,3159
43,1986,soul,471
44,1986,folk,509
45,1986,jazz,68
46,1986,blues,251
47,1986,metal,325
48,1986,punk,42
49,1986,polish,0
50,1987,rap,104
51,1987,pop,2285
52,1987,rock,2920
53,1987,soul,484
54,1987,folk,342
55,1987,jazz,222
56,1987,blues,153
57,1987,metal,336
58,1987,punk,90
59,1987,polish,19
60,1988,rap,142
61,1988,pop,2226
62,1988,rock,2661
63,1988,soul,333
64,1988,folk,341
65,1988,jazz,136
66,1988,blues,122
67,1988,metal,446
68,1988,punk,95
69,1988,polish,0
70,1989,rap,203
71,1989,pop,2075
72,1989,rock,2468
73,1989,soul,272
74,1989,folk,382
75,1989,jazz,124
76,1989,blues,138
77,1989,metal,665
78,1989,punk,105
79,1989,polish,0
80,1990,rap,304
81,1990,pop,1839
82,1990,rock,2307
83,1990,soul,424
84,1990,folk,270
85,1990,jazz,66
86,1990,blues,129
87,1990,metal,617
88,1990,punk,135
89,1990,polish,6
90,1991,rap,376
91,1991,pop,1868
92,1991,rock,1973
93,1991,soul,328
94,1991,folk,153
95,1991,jazz,63
96,1991,blues,127
97,1991,metal,603
98,1991,punk,30
99,1991,polish,0
100,1992,rap,566
101,1992,pop,1769
102,1992,rock,1899
103,1992,soul,517
104,1992,folk,109
105,1992,jazz,53
106,1992,blues,100
107,1992,metal,371
108,1992,punk,52
109,1992,polish,7
110,1993,rap,711
111,1993,pop,2125
112,1993,rock,1519
113,1993,soul,794
114,1993,folk,85
115,1993,jazz,116
116,1993,blues,79
117,1993,metal,204
118,1993,punk,27
119,1993,polish,7
120,1994,rap,927
121,1994,pop,2380
122,1994,rock,1895
123,1994,soul,733
124,1994,folk,262
125,1994,jazz,114
126,1994,blues,84
127,1994,metal,168
128,1994,punk,63
129,1994,polish,0
130,1995,rap,953
131,1995,pop,2590
132,1995,rock,1441
133,1995,soul,673
134,1995,folk,119
135,1995,jazz,41
136,1995,blues,69
137,1995,metal,202
138,1995,punk,53
139,1995,polish,0
140,1996,rap,725
141,1996,pop,2458
142,1996,rock,1306
143,1996,soul,644
144,1996,folk,186
145,1996,jazz,26
146,1996,blues,53
147,1996,metal,182
148,1996,punk,23
149,1996,polish,0
150,1997,rap,917
151,1997,pop,2502
152,1997,rock,1032
153,1997,soul,894
154,1997,folk,172
155,1997,jazz,48
156,1997,blues,28
157,1997,metal,75
158,1997,punk,47
159,1997,polish,0
160,1998,rap,1000
161,1998,pop,2580
162,1998,rock,1233
163,1998,soul,533
164,1998,folk,143
165,1998,jazz,39
166,1998,blues,42
167,1998,metal,87
168,1998,punk,49
169,1998,polish,0
170,1999,rap,748
171,1999,pop,2980
172,1999,rock,1698
173,1999,soul,678
174,1999,folk,53
175,1999,jazz,1
176,1999,blues,29
177,1999,metal,296
178,1999,punk,96
179,1999,polish,14
180,2000,rap,916
181,2000,pop,3134
182,2000,rock,1517
183,2000,soul,729
184,2000,folk,20
185,2000,jazz,6
186,2000,blues,78
187,2000,metal,416
188,2000,punk,37
189,2000,polish,6
190,2001,rap,0
191,2001,pop,0
192,2001,rock,0
193,2001,soul,0
194,2001,folk,0
195,2001,jazz,0
196,2001,blues,0
197,2001,metal,0
198,2001,punk,0
199,2001,polish,0
200,2002,rap,0
201,2002,pop,0
202,2002,rock,0
203,2002,soul,0
204,2002,folk,0
205,2002,jazz,0
206,2002,blues,0
207,2002,metal,0
208,2002,punk,0
209,2002,polish,0
210,2003,rap,0
211,2003,pop,0
212,2003,rock,0
213,2003,soul,0
214,2003,folk,0
215,2003,jazz,0
216,2003,blues,0
217,2003,metal,0
218,2003,punk,0
219,2003,polish,0
220,2004,rap,0
221,2004,pop,0
222,2004,rock,0
223,2004,soul,0
224,2004,folk,0
225,2004,jazz,0
226,2004,blues,0
227,2004,metal,0
228,2004,punk,0
229,2004,polish,0
230,2005,rap,401
231,2005,pop,644
232,2005,rock,267
233,2005,soul,38
234,2005,folk,1
235,2005,jazz,0
236,2005,blues,8
237,2005,metal,85
238,2005,punk,8
239,2005,polish,0
240,2006,rap,1495
241,2006,pop,3189
242,2006,rock,1456
243,2006,soul,293
244,2006,folk,4
245,2006,jazz,1
246,2006,blues,20
247,2006,metal,344
248,2006,punk,181
249,2006,polish,0
250,2007,rap,1659
251,2007,pop,3483
252,2007,rock,1320
253,2007,soul,279
254,2007,folk,11
255,2007,jazz,22
256,2007,blues,28
257,2007,metal,465
258,2007,punk,239
259,2007,polish,0
260,2008,rap,1520
261,2008,pop,3655
262,2008,rock,1292
263,2008,soul,413
264,2008,folk,18
265,2008,jazz,21
266,2008,blues,12
267,2008,metal,420
268,2008,punk,181
269,2008,polish,0
270,2009,rap,1474
271,2009,pop,3531
272,2009,rock,1132
273,2009,soul,228
274,2009,folk,2
275,2009,jazz,12
276,2009,blues,11
277,2009,metal,291
278,2009,punk,261
279,2009,polish,0
280,2010,rap,1785
281,2010,pop,3616
282,2010,rock,992
283,2010,soul,196
284,2010,folk,19
285,2010,jazz,35
286,2010,blues,2
287,2010,metal,156
288,2010,punk,105
289,2010,polish,0
290,2011,rap,2009
291,2011,pop,3647
292,2011,rock,1054
293,2011,soul,167
294,2011,folk,24
295,2011,jazz,3
296,2011,blues,13
297,2011,metal,120
298,2011,punk,120
299,2011,polish,0
300,2012,rap,1808
301,2012,pop,3582
302,2012,rock,1239
303,2012,soul,209
304,2012,folk,123
305,2012,jazz,0
306,2012,blues,21
307,2012,metal,33
308,2012,punk,53
309,2012,polish,0
310,2013,rap,1675
311,2013,pop,3526
312,2013,rock,1171
313,2013,soul,151
314,2013,folk,152
315,2013,jazz,12
316,2013,blues,3
317,2013,metal,11
318,2013,punk,36
319,2013,polish,0
320,2014,rap,1574
321,2014,pop,3735
322,2014,rock,1245
323,2014,soul,154
324,2014,folk,79
325,2014,jazz,10
326,2014,blues,25
327,2014,metal,12
328,2014,punk,27
329,2014,polish,0
330,2015,rap,1645
331,2015,pop,3570
332,2015,rock,986
333,2015,soul,29
334,2015,folk,79
335,2015,jazz,1
336,2015,blues,23
337,2015,metal,3
338,2015,punk,0
339,2015,polish,0
340,2016,rap,2130
341,2016,pop,3779
342,2016,rock,724
343,2016,soul,115
344,2016,folk,13
345,2016,jazz,6
346,2016,blues,15
347,2016,metal,22
348,2016,punk,2
349,2016,polish,0
350,2017,rap,2134
351,2017,pop,3104
352,2017,rock,554
353,2017,soul,56
354,2017,folk,16
355,2017,jazz,6
356,2017,blues,0
357,2017,metal,20
358,2017,punk,1
359,2017,polish,0
360,2018,rap,2532
361,2018,pop,2765
362,2018,rock,497
363,2018,soul,4
364,2018,folk,7
365,2018,jazz,10
366,2018,blues,0
367,2018,metal,18
368,2018,punk,0
369,2018,polish,0
370,2019,rap,2187
371,2019,pop,2795
372,2019,rock,450
373,2019,soul,8
374,2019,folk,6
375,2019,jazz,9
376,2019,blues,1
377,2019,metal,2
378,2019,punk,0
379,2019,polish,0
