,Unnamed: 0,artist_uri,genres
0,0,1Y8cdNmUJH7yBTd9yOvr5i,"['pop', 'r&b', 'dance pop', 'girl group', 'hip pop', 'urban contemporary']"
1,1,3tCGqGQclabrpQfcHRmDtK,['karaoke']
2,2,0GQkTwFb7D3ePIpnxwYavf,[]
3,3,6lHL3ubAMgSasKjNqKb8HF,"['r&b', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
4,4,43sZBwHjahUvgbx1WNIkIz,"['post-grunge', 'rock', 'alternative metal', 'nu metal', 'pop rock']"
5,5,1G9G7WwrXka3Z1r7aIDjI7,"['rap', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
6,6,25NQNriVT2YbSW80ILRWJa,"['country', 'contemporary country', 'country dawn', 'country road', 'dance pop', 'pop rock']"
7,7,0tRRrNLQY5rejEDVSjy4w3,"['hip pop', 'urban contemporary']"
8,8,3Ngh2zDBRPEriyxQDAMKd1,"['post-grunge', 'neo mellow', 'pop rock']"
9,9,4zKhX6hYCQPNs406umP9Fx,"['boy band', 'dance pop']"
10,10,6Ff53KvcvAj5U7Z1vojB5o,"['boy band', 'dance pop', 'post-teen pop']"
11,11,3nFkdlSjzX9mRTtwJOzDYB,"['rap', 'hip hop', 'east coast hip hop']"
12,12,5gznATMVO85ZcLTkE9ULU7,"['rock', 'permanent wave', 'pop rock']"
13,13,2DlGxzQSjYe5N6G9nkYghR,"['pop', 'dance pop', 'pop rap', 'urban contemporary']"
14,14,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
15,15,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
16,16,7L12TqJ0fbwtFljTbwfwRI,"['europop', 'bubblegum dance', 'dance pop']"
17,17,2mxe0TnaNL039ysAj51xPQ,[]
18,18,2gBjLmx6zQnFGQJCAQpRgw,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'pop rap', 'urban contemporary', 'southern hip hop', 'st louis rap']"
19,19,0dEvJpkqhrcn64d3oI8v79,"['comic', 'canadian pop', 'canadian rock', 'pop rock']"
20,20,1xeZcY93inQY14LWwnxd5G,"['neo mellow', 'pop rock']"
21,21,26dSoYclwsYLMAKD3tpOr4,"['pop', 'dance pop', 'post-teen pop']"
22,22,3LIJJJkO7R5RasRwt7xIn5,"['crunk', 'rap', 'trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'dirty south rap', 'new orleans rap', 'southern hip hop']"
23,23,3ipn9JLAPI5GUEo4y4jcoi,"['rap', 'trap', 'dance pop', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
24,24,2XV7DmS330NZ5IwdnzConn,[]
25,25,6tbjWDEIzxoDsBA1FuhfPW,"['pop', 'dance pop']"
26,26,6tbjWDEIzxoDsBA1FuhfPW,"['pop', 'dance pop']"
27,27,51Blml2LZPmy7TTiAg47vQ,"['rock', 'irish rock', 'permanent wave']"
28,28,5rSXSAkZ67PYJSvpUpkOr7,"['boy band', 'dance pop']"
29,29,1J2VVASYAamtQ3Bt8wGgA6,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'queens hip hop', 'east coast hip hop']"
30,30,0AunegKKH2ys98aLxq8G1A,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
31,31,05RZIdfz59ZW2FvFuwnmNK,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'quiet storm', 'urban contemporary']"
32,32,7352aRY2mqSxBZwzUb6LmA,"['r&b', 'rap', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'southern hip hop']"
33,33,0EyuKHE1AeE9lWUF8mzKVp,"['post-grunge', 'rock', 'alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'rap rock']"
34,34,3UVRliakQfa1pMWIsNuiZ8,"['r&b', 'contemporary r&b', 'dance pop', 'neo soul', 'quiet storm', 'urban contemporary']"
35,35,0ThrQemMA2B8xxusTUl8IM,"['r&b', 'contemporary r&b', 'hip pop', 'urban contemporary']"
36,36,3OsRAKCvk37zwYcnzRf5XF,"['downtempo', 'electronica']"
37,37,3Ngh2zDBRPEriyxQDAMKd1,"['post-grunge', 'neo mellow', 'pop rock']"
38,38,02JTFUpX3CgLWXNKEXIvcb,"['r&b', 'contemporary r&b', 'urban contemporary', 'new jack swing']"
39,39,6roFdX1y5BYSbp60OTJWMd,"['country', 'contemporary country', 'country road']"
40,40,2lFHVcUeJ9Gq6AZiU3ZAOa,"['r&b', 'contemporary r&b', 'girl group', 'hip pop', 'urban contemporary']"
41,41,1Ng8jGC4dL0gkkuh77pbpX,"['ccm', 'worship', 'christian music', 'christian alternative rock']"
42,42,6V03b3Y36lolYP2orXn8mV,"['boy band', 'dance pop']"
43,43,25IG9fa7cbdmCIy3OnuH57,"['country', 'country dawn']"
44,44,3grHWM9bx2E9vwJCdlRv9O,"['country', 'contemporary country', 'country road']"
45,45,7qvsLYsYP0MHD7jkdv6DAG,"['country', 'contemporary country', 'country dawn', 'country gospel', 'country road']"
46,46,0fkl9OpYCl6wOh8UvcMabC,[]
47,47,6Hizgjo92FnMp8wGaRUNTn,"['post-grunge', 'neo mellow', 'pop rock']"
48,48,2M4Yt7oKGoYd0wqU44k4i2,"['country', 'contemporary country', 'country road', 'country rock', 'outlaw country']"
49,49,7Aq8lpLMSt1Zxu56pe9bmp,"['r&b', 'contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'urban contemporary', 'atl hip hop', 'southern hip hop']"
50,50,5Z1reBuaReg2pg72I2mnMm,"['r&b', 'contemporary r&b', 'neo soul', 'quiet storm', 'urban contemporary', 'new jack swing']"
51,51,1J2VVASYAamtQ3Bt8wGgA6,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'queens hip hop', 'east coast hip hop']"
52,52,6I6t21SFbxZ7RbQgD5dN7U,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
53,53,7slfeZO9LsJbWgpkIoXBUJ,"['latin', 'dance pop', 'latin pop', 'mexican pop', 'puerto rican pop']"
54,54,13YmWQJFwgZrd4bf5IjMY4,"['country', 'contemporary country', 'country road']"
55,55,3qbnxnvUqR14MJ9g8QwZJK,"['country', 'contemporary country', 'country road']"
56,56,5EvFsr3kj42KNv97ZEnqij,"['pop rap', 'reggae fusion']"
57,57,3OsUvoKmZA2gw8rETtxGlz,['dance pop']
58,58,2RTUTCvo6onsAnheUk3aL9,"['post-grunge', 'alternative metal', 'nu metal', 'pop rock']"
59,59,7urq0VfqxEYEEiZUkebXT4,"['r&b', 'rap', 'boy band', 'contemporary r&b', 'dance pop', 'gangster rap', 'hip pop', 'pop rap', 'urban contemporary', 'atl hip hop', 'southern hip hop']"
60,60,7aBzpmFXB4WWpPl2F7RjBe,['rap kreyol']
61,61,1XhhO2dTs2fKyhILj0aam6,"['country', 'contemporary country', 'country road', 'modern country rock']"
62,62,6OqQbeNe7Pi7Zi7SNTi9ko,"['country', 'queer country']"
63,63,7J2lZBANizgPNfUzux31PV,"['neo mellow', 'permanent wave', 'pop rock']"
64,64,25NQNriVT2YbSW80ILRWJa,"['country', 'contemporary country', 'country dawn', 'country road', 'dance pop', 'pop rock']"
65,65,738OS3zrCO782uDiUN9pet,"['country', 'contemporary country', 'country dawn', 'country road', 'country rock']"
66,66,7y1GT7SdgGiFLWoktv2TSw,['boy band']
67,67,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
68,68,4mxWe1mtYIYfP040G38yvS,"['country', 'contemporary country', 'country road']"
69,69,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop', 'detroit hip hop']"
70,70,4jWzNq3sdzSpqn7BnzvIKn,"['rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'hardcore hip hop', 'southern hip hop', 'east coast hip hop']"
71,71,3ltFy7g6KKQPPttsdOMlq3,"['country', 'contemporary country', 'country dawn', 'country road']"
72,72,3zTOe1BtyTkwNvYZOxXktX,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
73,73,165ZgPlLkK7bf5bDoFc6Sb,"['alternative metal', 'funk metal', 'nu metal', 'rap metal']"
74,74,4iSKnRZAxkmqNok6tv10Se,"['alternative metal', 'funk metal', 'nu metal', 'rap rock']"
75,75,4tujQJicOnuZRLiBFdp3Ou,"['rap', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'detroit hip hop', 'hardcore hip hop', 'west coast rap']"
76,76,6sQVeggRv1AhrMzuCjhCZe,"['country', 'contemporary country', 'country dawn', 'country road']"
77,77,4sbB4Yy6Qig51pKCIKSLw3,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'quiet storm', 'urban contemporary']"
78,78,2d3VHzlOEwXvmBdS4pzOPL,"['country', 'country dawn', 'dance pop']"
