2018-05-04,KAPITAN POLSKA,Lao Che,1,5,1,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-04,OD JOKOHAMY DO FUJISAWY,Artur Andrus,3,6,2,"['classic polish pop', 'poezja spiewana']"
2018-05-04,NIE RAJ,Lao Che,2,17,3,"['polish alternative', 'polish alternative rock', 'polish reggae']"
2018-05-04,JA PAS!,Nosowska,6,2,4,"['polish alternative', 'polish pop']"
2018-05-04,GDYBYM MIAŁ KOGOŚ,Kazik & Kwartet ProForma,4,11,5,"['classic polish pop', 'poezja spiewana']"
2018-05-04,JESZCZE W ZIELONE GRAMY,Daria Zawiałow,5,24,6,"['polish alternative', 'polish indie', 'polish pop']"
2018-05-04,PRZYJDŹ W TAKĄ NOC,Krzysztof Zalewski,7,22,7,"['polish alternative rock', 'polish pop']"
2018-05-04,OBŁĄKANY OBŁOK,Strachy na Lachy & Itsmisslilly,9,9,8,['Other']
2018-05-04,KANTERSTRAJK,Fisz Emade Tworzywo,11,6,9,['polish alternative']
2018-05-04,PORUBA,Jaromir Nohavica,8,4,10,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-05-04,THE GLORY,The Cranberries,10,17,11,"['irish rock', 'pop rock']"
2018-05-04,IMMIGRANT SONG,Led Zeppelin,12,24,12,"['album rock', 'classic rock', 'hard rock', 'rock']"
2018-05-04,"DOBRZE, ŻE CIĘ MAM",Kortez,13,7,13,"['polish alternative', 'polish pop']"
2018-05-04,SAILOR,Julia Pietrucha,15,10,14,"['polish alternative', 'polish pop']"
2018-05-04,TAKE ON ME (MTV UNPLUGGED),a-ha,14,14,15,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
2018-05-04,CAŁĄ CISZĘ / POKÓJ NOCNY,Król,19,8,16,"['latin', 'reggaeton', 'reggaeton colombiano']"
2018-05-04,SHADOW OF YOUR LOVE,Guns N' Roses,N,1,17,"['glam metal', 'hard rock', 'rock']"
2018-05-04,SPIT OUT THE BONE,Metallica,18,19,18,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
2018-05-04,CZARNA DZIURA,Jaromir Nohavica,16,25,19,"['czech folk', 'czech rock', 'czech singer-songwriter']"
2018-05-04,JAK BONNIE I CLYDE,Anita Lipnicka & The Hats feat. Tomasz Makowiecki,17,13,20,['Other']
2018-05-04,HUNGER,Florence And The Machine,N,1,21,"['baroque pop', 'pop', 'uk alternative pop']"
