week timestamp,track name,arist name,last position,weeks on list,rank,genres
1982-04-01,I'LL FIND MY WAY HOME,Jon And Vangelis,N,1,1,"['art rock', 'classic uk pop', 'new age', 'progressive rock', 'symphonic rock']"
1982-04-01,O! NIE RÓB TYLE HAŁASU,Maanam,N,1,2,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-04-01,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),AC/DC,N,1,3,"['australian rock', 'hard rock', 'rock']"
1982-04-01,51,TSA,N,1,4,['pop']
1982-04-01,OPANUJ SIĘ,Perfect,N,1,5,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-04-01,VISITORS,ABBA,N,1,6,"['europop', 'swedish pop']"
1982-04-01,FLYING COLOURS,Jethro Tull,N,1,7,"['album rock', 'art rock', 'blues rock', 'classic rock', 'flute rock', 'folk rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
1982-04-01,PEPE WRÓĆ,Perfect,N,1,8,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-04-01,TERAZ RÓB CO CHCESZ,Budka Suflera,N,1,9,"['classic polish pop', 'polish prog', 'polish rock']"
1982-04-01,SŁODKA JEST NOC,Kombi,N,1,10,"['classic russian pop', 'russian pop', 'soviet synthpop']"
1982-04-01,FREEZE FRAME,J. Geils Band,N,1,11,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
1982-04-01,PRZED NAMI DRZWI ZAMKNIĘTE,Kasa Chorych,N,1,12,['polish blues']
1982-04-01,O JEDEN DRESZCZ,Lombard,N,1,13,['corridos clasicos']
1982-04-01,LAYLA,Derek And The Dominos,N,1,14,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
1982-04-01,DO OR DIE,The Human League,N,1,15,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
1982-04-01,HOW LONG,Rod Stewart,N,1,16,"['mellow gold', 'soft rock']"
1982-04-01,ASFALTOWE ŁĄKI,Grupa ABC,N,1,17,[]
1982-04-01,'65 LOVE AFFAIR,Paul Davis,N,1,18,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
1982-04-01,EDGE OF SEVENTEEN,Stevie Nicks,N,1,19,"['album rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
1982-04-01,THAT GIRL,Stevie Wonder,N,1,20,"['adult standards', 'funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
1982-04-01,TROUBLE,Lindsey Buckingham,,0,21,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'soft rock']"
1982-04-01,DROGA PANI Z TV,Lombard,,0,22,['corridos clasicos']
1982-04-01,400 DRAGONS,Adrian John Loveridge,,0,23,['Other']
1982-04-01,Z BRZYTWĄ NA POZIOMKI,Klan,,0,24,"['austrian pop', 'deep house', 'tropical house']"
1982-04-01,DON'T TALK TO STRANGERS,Rick Springfield,,0,25,"['album rock', 'australian rock', 'classic rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'soft rock', 'yacht rock']"
1982-04-01,KRÓLOWIE ŻYCIA,Kombi,,0,26,"['classic russian pop', 'russian pop', 'soviet synthpop']"
1982-04-01,ANGEL TO DEATH,Thin Lizzy,,0,27,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']"
1982-04-01,SWEET DREAMS,Air Supply,,0,28,"['mellow gold', 'soft rock']"
1982-04-01,I REMEMBER,Ultravox,,0,29,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
1982-04-01,CZY MOŻEMY SAMI ŻYĆ,Piotr Schulz & Alex Band,,0,30,['Other']
1982-04-24,O! NIE RÓB TYLE HAŁASU,Maanam,2,2,1,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-04-24,51,TSA,4,2,2,['pop']
1982-04-24,I'LL FIND MY WAY HOME,Jon And Vangelis,1,2,3,"['art rock', 'classic uk pop', 'new age', 'progressive rock', 'symphonic rock']"
1982-04-24,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),AC/DC,3,2,4,"['australian rock', 'hard rock', 'rock']"
1982-04-24,OPANUJ SIĘ,Perfect,5,2,5,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-04-24,VISITORS,ABBA,6,2,6,"['europop', 'swedish pop']"
1982-04-24,EBONY AND IVORY,Paul McCartney & Stevie Wonder,N,1,7,['Other']
1982-04-24,FLYING COLOURS,Jethro Tull,7,2,8,"['album rock', 'art rock', 'blues rock', 'classic rock', 'flute rock', 'folk rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
1982-04-24,SŁODKA JEST NOC,Kombi,10,2,9,"['classic russian pop', 'russian pop', 'soviet synthpop']"
1982-04-24,I LOVE ROCK AND ROLL,Joan Jett & The Blackhearts,N,1,10,"['glam punk', 'rock']"
1982-04-24,PEPE WRÓĆ,Perfect,8,2,11,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-04-24,LAYLA,Derek And The Dominos,14,2,12,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
1982-04-24,DO OR DIE,The Human League,15,2,13,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
1982-04-24,PRZED NAMI DRZWI ZAMKNIĘTE,Kasa Chorych,12,2,14,['polish blues']
1982-04-24,TERAZ RÓB CO CHCESZ,Budka Suflera,9,2,15,"['classic polish pop', 'polish prog', 'polish rock']"
1982-04-24,O JEDEN DRESZCZ,Lombard,13,2,16,['corridos clasicos']
1982-04-24,EDGE OF SEVENTEEN,Stevie Nicks,19,2,17,"['album rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
1982-04-24,THAT GIRL,Stevie Wonder,20,2,18,"['adult standards', 'funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
1982-04-24,FREEZE FRAME,J. Geils Band,11,2,19,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
1982-04-24,ASFALTOWE ŁĄKI,Grupa ABC,17,2,20,[]
1982-04-24,CHARIOTS OF FIRE,Vangelis,N,0,21,"['cyberpunk', 'new age', 'synthesizer']"
1982-04-24,BEZ SATYSFAKCJI,Budka Suflera,N,0,22,"['classic polish pop', 'polish prog', 'polish rock']"
1982-04-24,ANGEL OF DEATH,Thin Lizzy,N,0,23,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']"
1982-04-24,400 DRAGONS,Adrian John Loveridge,23,0,24,['Other']
1982-04-24,LOKOMOTYWA Z OGŁOSZENIA,Perfect,N,0,25,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-04-24,KURZA TWARZ,Cytrus,N,0,26,"['dance pop', 'pop', 'post-teen pop']"
1982-04-24,EMPTY GARDEN,Elton John,N,0,27,"['glam rock', 'mellow gold', 'piano rock']"
1982-04-24,RAINBOW BRIDGE,Greg Gee,N,0,28,[]
1982-04-24,GOLDEN BROWN,The Stranglers,N,0,29,"['art rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'synthpop', 'zolo']"
1982-04-24,BALLADA O MALARZU,Dżem,N,0,30,"['dance pop', 'pop', 'post-teen pop']"
1982-05-01,O! NIE RÓB TYLE HAŁASU,Maanam,1,3,1,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-05-01,51,TSA,2,3,1,['pop']
1982-05-01,I LOVE ROCK AND ROLL,Joan Jett & The Blackhearts,10,2,3,"['glam punk', 'rock']"
1982-05-01,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),AC/DC,4,3,4,"['australian rock', 'hard rock', 'rock']"
1982-05-01,EBONY AND IVORY,Paul McCartney & Stevie Wonder,7,2,5,['Other']
1982-05-01,I'LL FIND MY WAY HOME,Jon And Vangelis,3,3,6,"['art rock', 'classic uk pop', 'new age', 'progressive rock', 'symphonic rock']"
1982-05-01,OPANUJ SIĘ,Perfect,5,3,7,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-01,PEPE WRÓĆ,Perfect,11,3,7,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-01,VISITORS,ABBA,6,3,8,"['europop', 'swedish pop']"
1982-05-01,BEZ SATYSFAKCJI,Budka Suflera,N,1,9,"['classic polish pop', 'polish prog', 'polish rock']"
1982-05-01,LAYLA,Derek And The Dominos,12,3,10,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
1982-05-01,PRZED NAMI DRZWI ZAMKNIĘTE,Kasa Chorych,14,3,11,['polish blues']
1982-05-01,FLYING COLOURS,Jethro Tull,8,3,12,"['album rock', 'art rock', 'blues rock', 'classic rock', 'flute rock', 'folk rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
1982-05-01,LOKOMOTYWA Z OGŁOSZENIA,Perfect,N,1,13,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-01,CHARIOTS OF FIRE,Vangelis,N,1,14,"['cyberpunk', 'new age', 'synthesizer']"
1982-05-01,GOLDEN BROWN,The Stranglers,N,1,15,"['art rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'synthpop', 'zolo']"
1982-05-01,O JEDEN DRESZCZ,Lombard,16,3,16,['corridos clasicos']
1982-05-01,THAT GIRL,Stevie Wonder,18,3,17,"['adult standards', 'funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
1982-05-01,SŁODKA JEST NOC,Kombi,9,3,18,"['classic russian pop', 'russian pop', 'soviet synthpop']"
1982-05-01,KURZA TWARZ,Cytrus,N,1,19,"['dance pop', 'pop', 'post-teen pop']"
1982-05-01,400 DRAGONS,Adrian John Loveridge,N,1,20,['Other']
1982-05-01,BRYLANTY,Izabela Trojanowska,N,0,21,['classic polish pop']
1982-05-01,ANGEL OF DEATH,Thin Lizzy,23,0,22,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']"
1982-05-01,EMPTY GARDEN,Elton John,27,0,23,"['glam rock', 'mellow gold', 'piano rock']"
1982-05-01,RAINBOW BRIDGE,Greg Gee,28,0,24,[]
1982-05-01,BALLADA O MALARZU,Dżem,30,0,25,"['dance pop', 'pop', 'post-teen pop']"
1982-05-01,THE BEATLES MOVIE MEDLEY,The Beatles,N,0,26,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
1982-05-01,THE LION SLEEPS TONIGHT,Tight Fit,N,0,27,[]
1982-05-01,PIOSENKA BEZ SENSU,Exodus,N,0,28,"['death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']"
1982-05-01,MUSIC,John Miles,N,0,29,['classic uk pop']
1982-05-08,51,TSA,1,4,1,['pop']
1982-05-08,I LOVE ROCK AND ROLL,Joan Jett & The Blackhearts,3,3,2,"['glam punk', 'rock']"
1982-05-08,O! NIE RÓB TYLE HAŁASU,Maanam,1,4,3,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-05-08,EBONY AND IVORY,Paul McCartney & Stevie Wonder,5,3,4,['Other']
1982-05-08,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),AC/DC,4,4,5,"['australian rock', 'hard rock', 'rock']"
1982-05-08,I'LL FIND MY WAY HOME,Jon And Vangelis,6,4,6,"['art rock', 'classic uk pop', 'new age', 'progressive rock', 'symphonic rock']"
1982-05-08,BRYLANTY,Izabela Trojanowska,N,1,7,['classic polish pop']
1982-05-08,LOKOMOTYWA Z OGŁOSZENIA,Perfect,13,2,8,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-08,BEZ SATYSFAKCJI,Budka Suflera,9,2,9,"['classic polish pop', 'polish prog', 'polish rock']"
1982-05-08,CHARIOTS OF FIRE,Vangelis,14,2,10,"['cyberpunk', 'new age', 'synthesizer']"
1982-05-08,PEPE WRÓĆ,Perfect,7,4,11,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-08,VISITORS,ABBA,8,4,12,"['europop', 'swedish pop']"
1982-05-08,OPANUJ SIĘ,Perfect,7,4,13,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-08,GOLDEN BROWN,The Stranglers,15,2,14,"['art rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'synthpop', 'zolo']"
1982-05-08,BODY LANGUAGE,Queen,N,1,15,"['classic rock', 'glam rock', 'rock']"
1982-05-08,EMPTY GARDEN,Elton John,N,1,16,"['glam rock', 'mellow gold', 'piano rock']"
1982-05-08,FLYING COLOURS,Jethro Tull,12,4,17,"['album rock', 'art rock', 'blues rock', 'classic rock', 'flute rock', 'folk rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
1982-05-08,KURZA TWARZ,Cytrus,19,2,18,"['dance pop', 'pop', 'post-teen pop']"
1982-05-08,400 DRAGONS,Adrian John Loveridge,20,2,19,['Other']
1982-05-08,KTO ZROBIŁ MI TEN ŻART,Budka Suflera,N,1,20,"['classic polish pop', 'polish prog', 'polish rock']"
1982-05-08,ANGEL OF DEATH,Thin Lizzy,22,0,21,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']"
1982-05-08,RAINBOW BRIDGE,Greg Gee,24,0,22,[]
1982-05-08,CLASSIC,Adrian Gurvitz,N,0,23,['yacht rock']
1982-05-08,BALLADA O MALARZU,Dżem,25,0,24,"['dance pop', 'pop', 'post-teen pop']"
1982-05-08,THE BEATLES MOVIE MEDLEY,The Beatles,26,0,25,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
1982-05-08,THE LION SLEEPS TONIGHT,Tight Fit,27,0,26,[]
1982-05-08,WHEN THE SMOKE IS GOING DOWN,Scorpions,N,0,27,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']"
1982-05-08,THE NUMBER OF THE BEAST,Iron Maiden,N,0,28,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']"
1982-05-08,CHODZĄ LUDZIE,TSA,N,0,29,['pop']
1982-05-08,PARANOJA JEST GOŁA,Maanam,N,0,30,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-05-15,51,TSA,1,5,1,['pop']
1982-05-15,I LOVE ROCK AND ROLL,Joan Jett & The Blackhearts,2,4,2,"['glam punk', 'rock']"
1982-05-15,O! NIE RÓB TYLE HAŁASU,Maanam,3,5,3,"['classic polish pop', 'polish alternative', 'polish pop', 'polish post-punk', 'polish rock']"
1982-05-15,BRYLANTY,Izabela Trojanowska,7,2,4,['classic polish pop']
1982-05-15,EBONY AND IVORY,Paul McCartney & Stevie Wonder,4,4,5,['Other']
1982-05-15,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU),AC/DC,5,5,6,"['australian rock', 'hard rock', 'rock']"
1982-05-15,LOKOMOTYWA Z OGŁOSZENIA,Perfect,8,3,7,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
1982-05-15,I'LL FIND MY WAY HOME,Jon And Vangelis,6,5,8,"['art rock', 'classic uk pop', 'new age', 'progressive rock', 'symphonic rock']"
